region,avg_rank,std_rank,rank_life_sat
Western Finland,21.239,12.154087711310641,1
Zealand,21.320666666666668,12.131573732671844,2
Northern Jutland,21.38233333333333,12.170873798490435,3
Helsinki-Uusimaa,21.444,12.13188159149706,4
Drenthe,21.466444444444445,12.133695474394543,5
Central Switzerland,21.48777777777778,12.030772557828973,6
Other regions,21.488777777777777,12.2421073700951,7
Southern Denmark,21.489555555555555,12.040773316085884,8
Zeeland,21.499555555555556,12.743540394359307,9
Central Jutland,21.579555555555554,12.062110248053937,10
Eastern Switzerland,21.610777777777777,12.070456359191319,11
Zurich,21.614444444444445,12.163972690119849,12
Oslo and Viken,21.628444444444444,12.136441046257215,13
Eastern and Northern Finland,21.674333333333333,12.085356275888003,14
Lake Geneva Region,21.685666666666666,12.735968121313341,15
Åland,21.698555555555554,12.865374283442915,16
Capital City Region,21.698888888888888,12.082917168815932,17
Agder and Sør-Østlandet,21.743444444444446,12.726239605182798,18
Southern Finland,21.770555555555557,12.064727076443631,19
Northern Norway,21.776222222222223,12.733610190637888,20
Western Norway,21.784333333333333,12.779939653211484,21
Greater Reykjavík,21.812,12.824907980023788,22
North Brabant,21.82188888888889,13.176001310882635,23
Trøndelag,21.82811111111111,12.71281376111259,24
Groningen,21.89311111111111,13.13527781041923,25
Småland with Islands,21.900444444444446,12.850170448946475,26
Upper Norrland,21.931,13.291479369312839,27
Utrecht,21.93711111111111,12.742539330035283,28
South Holland,21.953777777777777,13.273536572731272,29
Stockholm,22.041888888888888,13.31858598025663,30
Carinthia,22.043333333333333,13.332278498482514,31
Espace Mittelland,22.047555555555554,13.296392327207235,32
Overijssel,22.058222222222224,13.29347462321738,33
South Sweden,22.060333333333332,13.324337702845458,34
Central Norrland,22.062,13.210996826874352,35
West Sweden,22.069222222222223,13.27004131515001,36
Northwestern Switzerland,22.075666666666667,13.25046349622388,37
Friesland,22.10788888888889,12.624894401527719,38
Tyrol,22.133444444444443,13.540917783094066,39
North Holland,22.140555555555554,13.100732915990985,40
Flevoland,22.218444444444444,13.230854485434348,41
Gelderland,22.348777777777777,13.412598076032655,42
Salzburg,54.297444444444444,10.02530824146553,43
Upper Austria,54.318222222222225,9.94385064986461,44
Lower Austria,54.31933333333333,10.078987063193683,45
East Middle Sweden,54.31966666666667,10.076026803568867,46
Vorarlberg,54.324222222222225,10.050433549355404,47
Innlandet,54.32611111111111,9.982214787092968,48
Lower Saxony,54.340555555555554,10.073742973800204,49
Limburg,54.37555555555556,9.983866428788923,50
Hamburg,54.413111111111114,10.064676130984669,51
Moravia-Silesia,54.43644444444445,10.08652227344212,52
North Middle Sweden,54.440666666666665,10.079792316054581,53
North East England,59.269777777777776,10.306078006041076,54
Styria,59.285111111111114,10.354288516678452,55
Scotland,59.385777777777776,10.308480027606358,56
Schleswig-Holstein,59.41077777777778,10.222452701419346,57
North West England,59.41822222222222,10.209472969822768,58
Corsica,59.41877777777778,10.225475739596298,59
Baden-Württemberg,59.41988888888889,10.199718264854067,60
West Midlands,59.437777777777775,10.277812072488727,61
North Rhine-Westphalia,59.44133333333333,10.330675716636682,62
Northern Ireland,59.44866666666667,10.333887475627325,63
Umbria,59.486333333333334,10.31131332395243,64
Luxembourg,59.507333333333335,10.432792100716847,65
Northern and Western,63.584,10.759245416343218,66
Brandenburg,63.635777777777776,10.664436275962782,67
Vienna,63.70311111111111,10.659937185293757,68
Thuringia,63.812,10.80044522547859,69
Ticino,63.85644444444444,10.712854643302864,70
Rhineland-Palatinate,63.87711111111111,10.835176694159346,71
Eastern and Midland,63.89955555555556,10.737455166977604,72
East of England,63.90255555555556,10.804640368716608,73
Saarland,63.94911111111111,10.825494005711889,74
Bavaria,81.544,9.676995747342128,75
South East England,81.56211111111111,9.678549904110076,76
Mecklenburg-Vorpommern,81.568,9.70730890644435,77
South West England,81.623,9.67810532836736,78
Central Moravia,81.63411111111111,9.705887858797237,79
Wales,81.65277777777777,9.73571155098004,80
Saxony-Anhalt,81.66355555555556,9.710060827727384,81
Southern,81.72244444444445,9.766553194924148,82
Northeast,81.75544444444445,9.672827328890154,83
Marche,81.84322222222222,9.743640233965559,84
Yorkshire and The Humber,90.879,11.402890749071956,85
Central Bohemian Region,90.88033333333334,11.348435555370687,86
Aosta Valley,90.92988888888888,11.254211148412466,87
Brittany,90.93844444444444,11.374929974163623,88
Berlin,90.94277777777778,11.283088813937132,89
Greater London,90.94288888888889,11.331044070010119,90
Flemish Region,91.07666666666667,11.473189685724686,91
Balearic Islands,96.78622222222222,12.514317576724482,92
Walloon Region,96.81466666666667,12.469020902853952,93
Southwest,96.82744444444444,12.428888832518092,94
Saxony,96.83677777777778,12.478563579660129,95
Nouvelle-Aquitaine,96.86322222222222,12.41463629820253,96
Île-de-France,96.905,12.589970798504218,97
Auvergne-Rhône-Alpes,96.91666666666667,12.590260851009942,98
Northwest,96.92488888888889,12.396966069955369,99
East Midlands,96.98644444444444,12.518275766300771,100
Valencia,97.008,12.523632173538607,101
Southeast,97.20722222222223,12.578291457779164,102
Mayotte,112.99333333333334,12.919436313101883,103
Lombardy,113.08166666666666,13.041221178546527,104
Prague,113.10233333333333,12.997006805782064,105
Cantabria,113.13966666666667,12.968815713862028,106
French Guiana,113.156,13.098119189521947,107
Normandy,113.16533333333334,12.859312863650993,108
La Réunion,113.16555555555556,12.996761297537189,109
Molise,113.19344444444444,13.054205901692065,110
Provence-Alpes-Côte d’Azur,113.20233333333333,12.95326787660882,111
Murcia,113.20988888888888,13.036182390818837,112
Province of Bolzano-Bozen,113.21533333333333,12.881151639626973,113
Province of Trento,113.25588888888889,12.981183814455429,114
Bourgogne-Franche-Comté,113.26622222222223,13.045119592743154,115
Aragon,113.3,12.989332044869776,116
Guadeloupe,113.31477777777778,13.020090276638562,117
Marijampole county,113.38244444444445,13.010034107093805,118
Martinique,113.40577777777777,12.998192406644245,119
Emilia-Romagna,113.52622222222222,13.093209621334099,120
Occitanie,123.03944444444444,12.448730270404518,121
Taurage county,123.05955555555556,12.379253810518373,122
Hesse,123.16955555555556,12.572533231939925,123
Catalonia,123.198,12.566680307039148,124
Western Slovenia,123.25311111111111,12.441338798091055,125
Brussels Capital Region,123.25522222222222,12.467273547907814,126
La Rioja,123.25888888888889,12.332157020415558,127
Navarra,123.37388888888889,12.481571542420477,128
Burgenland,123.47544444444445,12.477153577566495,129
Apulia,133.1081111111111,12.571554539569899,130
Grand Est,133.16533333333334,12.735227477002077,131
Centre - Val de Loire,133.22922222222223,12.614221397282849,132
Basque Country,133.27766666666668,12.493701540190262,133
Klaipeda county,133.29,12.569597778362432,134
Vilnius county,133.31588888888888,12.650063469294784,135
Basilicata,133.32766666666666,12.633739317879288,136
Liguria,133.35822222222222,12.853154801422228,137
Hauts-de-France,133.39677777777777,12.66798495069052,138
Castile and León,133.40066666666667,12.704962337903883,139
Madrid,133.46833333333333,12.642023377762667,140
Lazio,133.5338888888889,12.686276949311672,141
Utena county,133.5901111111111,12.812906212333502,142
Eastern Slovenia,149.66544444444443,11.669608357616848,143
Mazowiecki region,149.6881111111111,11.645452829612134,144
Western Transdanubia,149.7051111111111,11.69934584867494,145
Warmian-Masuria,149.7641111111111,11.72525142781799,146
Abruzzo,149.8358888888889,11.673040486347093,147
Warsaw capital region,149.86111111111111,11.668069119161872,148
Šiauliai county,149.87633333333332,11.70735011789494,149
Podlaskie,149.88622222222222,11.75238798513779,150
Canary Islands,149.9247777777778,11.694608626896173,151
Sicily,157.486,11.365559144160326,152
Campania,157.5677777777778,11.40415475118679,153
North Estonia,157.6232222222222,11.385551161844631,154
South Aegean,157.6671111111111,11.394416262220776,155
Greater Poland,157.69722222222222,11.519204364040329,156
Lublin Province,157.70422222222223,11.343070840393397,157
Lubusz,157.71466666666666,11.416895907733288,158
Pays de la Loire,157.724,11.496340392791838,159
Southern Estonia,157.752,11.272047645284733,160
Kaunas county,157.77533333333332,11.42904850297253,161
Andalusia,157.79188888888888,11.468908423062166,162
Tuscany,157.8051111111111,11.47259432691417,163
Veneto,157.82144444444444,11.570047187141542,164
Riga,167.727,11.574215603212524,165
Central Transdanubia,167.75333333333333,11.478299096556771,166
Swietokrzyskie,167.78644444444444,11.561493628790902,167
West Pomerania,167.80933333333334,11.671337332281263,168
Pieriga,167.83166666666668,11.69758193637169,169
Friuli-Venezia Giulia,167.85144444444444,11.612613994303253,170
Bremen,167.85655555555556,11.674873855620046,171
Panevežys county,167.89677777777777,11.561885581290865,172
Lower Silesia,167.95677777777777,11.634849740155826,173
Southern Great Plain,167.99533333333332,11.676720191115523,174
Castile-La Mancha,179.1338888888889,9.867595864675433,175
Central Estonia,179.40033333333332,9.92076957514968,176
Budapest,179.41022222222222,9.889125645888903,177
Telšiai county,179.4128888888889,10.010172095502947,178
Galicia,179.43866666666668,9.933684681098118,179
Madeira (autonomous region),179.47611111111112,9.960031604805032,180
Metropolitan area of Lisbon,179.51233333333334,9.94505759533388,181
Pomerania,179.51611111111112,9.924650358093372,182
Pest,179.51722222222222,9.950490455895864,183
Algarve,179.51833333333335,10.147774536145933,184
Lesser Poland,179.54055555555556,9.988521010385458,185
Northern Hungary,188.77866666666668,9.249988986757723,186
Vidzeme,188.8221111111111,9.286205022580514,187
Alentejo,188.83466666666666,9.283953754237098,188
Azores (autonomous region),188.83988888888888,9.252062115744145,189
Piedmont,188.8418888888889,9.193104427038323,190
West Estonia,188.88666666666666,9.363107673709596,191
Alytus county,188.90044444444445,9.212417144821972,192
Latgale,189.02622222222223,9.338088142689287,193
Silesia,189.02988888888888,9.354063041054932,194
Sardinia,196.2891111111111,8.962911646669792,195
North,196.293,8.983707883393642,196
Crete,196.43433333333334,9.028428579416516,197
Calabria,196.51455555555555,9.00189564818605,198
Zemgale,196.51633333333334,8.980201946671661,199
Kuyavian-Pomerania,196.54788888888888,8.947062893755254,200
Epirus,204.32833333333335,7.059529508692371,201
Northern Great Plain,204.377,6.952267200299387,202
Lodzkie,204.404,6.954018936951852,203
Podkarpacia,204.4477777777778,7.010488986839535,204
Kurzeme,204.4518888888889,7.080782327832141,205
Northeast Estonia,204.46255555555555,6.976245800553699,206
Western Greece,204.46844444444446,7.018802539617858,207
"Eastern Macedonia, Thrace",204.48155555555556,7.016252291948481,208
North Aegean,204.48833333333334,6.95844167508906,209
Extremadura,209.9651111111111,5.105912860324345,210
Central Portugal,209.99588888888889,5.090238571331109,211
Ionian Islands,210.02522222222223,5.079119258821721,212
Attica,210.03466666666668,5.039759508987944,213
Opole region,210.03544444444444,5.054450631686577,214
Central Macedonia,210.04655555555556,5.097292043694568,215
Peloponnese,210.07866666666666,5.039992344822642,216
Southern Transdanubia,213.30633333333333,3.976769399271742,217
Central Greece,219.20055555555555,1.3257599439839336,218
Western Macedonia,219.53755555555554,1.0995208637479215,219
Asturias,219.5671111111111,1.099023442345027,220
Thessaly,219.57755555555556,1.0924518638414824,221
